"Date & Time","use [kWh]","gen [kWh]","Outlet #1 [kWh]","Outlet #2 [kWh]","Outlet #3 [kWh]","Outlet #4 [kWh]","Solar Power [kWh]","Generator Power [kWh]","Grid Power [kWh]","DC Outlets [kWh]","Battery Voltage [Vs]","AC Voltage [Vs]","AC Frequency [Hzs]","out1ap [kWh]","out2ap [kWh]","out3ap [kWh]","out4ap [kWh]","Ap Grid [kWh]"
2014-04-30 00:00:00,43.355713333,899.682675000,223.566615000,54.314965000,110.859178056,281.451772222,899.682675000,15.481903889,27.873809444,-233.203622222,557745600475.000020000,3574520115728.999900000,3282793546646.000100000,222.761197222,53.031168889,110.047876667,280.812493333,28.282715000
2014-04-29 00:00:00,43.355036389,896.889540278,223.561715833,54.310781667,109.996795278,280.592855556,896.889540278,15.481226944,27.873809444,-232.167870000,555521525044.999950000,3554540644743.999800000,3278473166082.000100000,222.762452778,53.033625833,109.185655000,279.955343056,28.281042778
2014-04-28 00:00:00,43.354529167,894.208824444,223.556294722,54.306076944,109.673920278,279.874989444,894.208824444,15.480719722,27.873809444,-231.125870278,553293213126.000040000,3534549810457.999700000,3274152785083.000000000,222.762922778,53.035158333,108.863331944,279.238683611,28.279633611
2014-04-27 00:00:00,43.353831389,889.845009444,223.551204444,54.301778056,108.865097500,279.214863889,889.845009444,15.480021944,27.873809444,-230.069210833,551057040077.000020000,3514563994787.999900000,3269832403572.000200000,222.763735278,53.037171667,108.054770833,278.579483056,28.278006667
2014-04-26 00:00:00,43.353185833,885.368626667,223.546716111,54.297846389,108.352326667,277.880192222,885.368626667,15.479376389,27.873809444,-229.000289444,548826445560.000060000,3494573258065.999700000,3265512023320.000100000,222.765009722,53.039454444,107.542191111,277.246299167,28.276244167
2014-04-25 00:00:00,43.352252222,880.945479722,222.291956389,54.293916667,108.090492778,277.477114167,880.945479722,15.478442778,27.873809444,-227.944974444,546617525207.000010000,3474601347102.000100000,3261191642145.000100000,221.512082222,53.042147222,107.280641389,276.845507222,28.273460833
2014-04-24 00:00:00,43.351231944,876.722179722,220.315715000,54.290156111,107.790425556,277.072648333,876.722179722,15.477422500,27.873809444,-226.883600833,544411535588.000050000,3454622602985.000000000,3256871258708.000100000,219.537753056,53.045495833,106.981487500,276.444957778,28.269909722
2014-04-23 00:00:00,43.350375278,871.652698056,218.337918333,54.286907500,106.786429167,277.061549722,871.652698056,15.476565833,27.873809444,-225.828874444,542211350493.999950000,3434649830056.999900000,3252550877069.000000000,217.562718056,53.049388056,105.977598333,276.437883611,28.266363333
2014-04-22 00:00:00,43.349398889,867.590590833,217.270056667,54.283476944,106.337963056,275.670263889,867.590590833,15.475589444,27.873809444,-224.792338056,540009904661.999940000,3414669020213.000100000,3248230497009.999700000,216.498302222,53.052697222,105.529196111,275.048234444,28.263396111
2014-04-21 00:00:00,43.348683889,861.764002500,216.209643333,54.279280556,105.779599722,275.180381944,861.764002500,15.474874444,27.873809444,-223.750154722,537800594972.999930000,3394686178080.999800000,3243910117117.000200000,215.441520000,53.055589444,104.970919444,274.559917222,28.260686667
