"Date & Time","use [kWh]","gen [kWh]","Outlet #1 [kWh]","Outlet #2 [kWh]","Outlet #3 [kWh]","Outlet #4 [kWh]","Solar Power [kWh]","Generator Power [kWh]","Grid Power [kWh]","DC Outlets [kWh]","Battery Voltage [Vs]","AC Voltage [Vs]","AC Frequency [Hzs]","Ap Grid [kWh]","out4ap [kWh]","out3ap [kWh]","out2ap [kWh]","out1ap [kWh]"
2014-05-10 00:00:00,143.892478889,533.253414722,369.612465833,7.047248333,130.657770278,147.560295278,533.253414722,136.767547778,7.124931111,-216.139270556,830095852695.999970000,4440800171302.000200000,3027803168537.999900000,-42.437645833,42.681439167,72.095673889,-168.583188333,304.718255278
2014-05-09 00:00:00,143.898093889,529.094653333,367.761198056,6.995505833,129.506415833,147.408582778,529.094653333,136.773896111,7.124197778,-215.276420833,827825974981.999990000,4427917722454.000100000,3017324439196.000000000,-41.726720000,42.553399444,71.078946111,-168.609039444,302.876179167
2014-05-08 00:00:00,143.902262500,524.669245833,366.517041111,6.601975000,126.761421389,146.952308056,524.669245833,136.779955278,7.122307222,-214.446665278,825623023243.000030000,4409169120985.000100000,3011963597743.999900000,-41.616286667,42.119477778,68.342103333,-168.987124167,301.649652778
2014-05-07 00:00:00,143.907521111,521.086521111,364.106905000,6.534121667,124.289399722,146.305526111,521.086521111,136.786750278,7.120770833,-213.622636111,823412582075.000040000,4390320702940.000200000,3006562705652.999800000,-41.533809722,41.485053889,65.881135556,-169.045747778,299.247717500
2014-05-06 00:00:00,143.912587222,516.270116389,360.466088889,6.002508889,122.656462222,145.847501389,516.270116389,136.793015833,7.119571389,-212.768166389,821173642606.000060000,4370420902616.999700000,3002242270676.000100000,-41.523248889,41.034215556,64.267630833,-169.570713611,295.612084444
2014-05-05 00:00:00,143.918709444,512.926091667,355.948825556,5.608759722,120.262918056,145.627534167,512.926091667,136.800525833,7.118183611,-211.851948056,818910352689.999930000,4350515053744.000100000,2997921837452.999900000,-41.512940556,40.817646944,61.885528333,-169.952979167,291.094821111
2014-05-04 00:00:00,143.923960833,508.097331389,352.063394722,5.586647500,119.748580278,145.563289167,508.097331389,136.807322222,7.116638611,-210.911653889,816579523143.000000000,4330608474286.999700000,2993601415213.000100000,-41.503560556,40.759498889,61.388629167,-169.951678889,287.209390278
2014-05-03 00:00:00,143.929754444,505.817521111,348.616726667,5.236765833,119.726099722,145.517998611,505.817521111,136.815300278,7.114454167,-209.963751111,814216002355.000010000,4314070118533.999900000,2986771411363.000200000,-40.527536111,40.731825000,61.404319722,-170.285029167,283.765282222
2014-05-02 00:00:00,143.936933056,502.475656389,345.585633889,5.175997222,118.063199444,145.166750833,502.475656389,136.823420000,7.113513056,-209.128110000,811954876751.000040000,4300194663050.000000000,2977234705745.000200000,-39.344349444,40.395065556,59.777466111,-170.341553333,280.737107778
2014-05-01 00:00:00,143.941109167,498.114465000,341.866163889,5.110858056,118.043108611,145.017208333,498.114465000,136.829076389,7.112032778,-208.266726667,809705712483.000040000,4280291599083.999900000,2972914270142.999800000,-39.335364722,40.246800000,59.781708333,-170.397225833,277.017637778
2014-04-30 00:00:00,143.945607778,494.843684444,337.710915556,5.081010000,118.023219167,144.920031111,494.843684444,136.834555000,7.111052778,-207.385480833,807449454618.999950000,4260382745501.000200000,2968593834042.000100000,-39.326759722,40.161498611,59.785959167,-170.406958333,272.862389444
2014-04-29 00:00:00,143.949268333,489.997003333,333.761410556,5.046275278,117.878985833,144.897088056,489.997003333,136.840567222,7.108701111,-206.507785833,805167499031.999940000,4240473263226.000000000,2964273400641.000200000,-39.317718056,40.170283056,59.666936389,-170.419612222,268.912884444
2014-04-28 00:00:00,143.954036667,486.072641111,329.461744167,4.992358056,116.929151944,144.886072500,486.072641111,136.846990556,7.107046111,-205.611418611,802886127713.999980000,4220557169911.999700000,2959952963241.000100000,-39.308343611,40.203127778,58.738071389,-170.458857778,264.613242222
2014-04-27 00:00:00,143.958074167,481.598336944,327.147857500,4.966828056,116.907916667,144.868841944,481.598336944,136.852619444,7.105454722,-204.706691944,800557114363.000030000,4200639236123.999900000,2955632527863.000000000,-39.300388889,40.219983333,58.741136389,-170.461368333,262.307149167
2014-04-26 00:00:00,143.960423333,476.957191389,327.126928056,4.926796389,116.516480556,144.847201667,476.957191389,136.857052778,7.103370556,-203.794651667,798246269003.000020000,4180725468942.999800000,2951312095126.000000000,-39.292760278,40.234590556,58.368457222,-170.480907778,262.313981944
2014-04-25 00:00:00,143.962993611,472.347825833,327.074451111,4.872931944,116.047889167,144.471265000,472.347825833,136.861834167,7.101159444,-202.891460278,795965411782.999990000,4160820709700.000200000,2946991660841.000000000,-39.284414167,39.864188611,57.919239722,-170.520145556,262.281656667
2014-04-24 00:00:00,143.967876667,466.918556667,323.945691944,4.813856389,115.526976111,143.047438333,466.918556667,136.868576111,7.099300556,-201.986024722,793707997284.000030000,4140912329237.999900000,2942671226888.999900000,-39.275270556,38.455241389,57.419306111,-170.566382778,259.155156944
2014-04-23 00:00:00,143.972831667,461.722034167,322.025120833,4.755737778,114.271806389,141.661736389,461.722034167,136.874948056,7.097883611,-201.080853611,791440950366.999980000,4121005961614.999700000,2938350793583.999800000,-39.266007500,37.080141111,56.183699444,-170.608576111,257.236181667
