"Date & Time","use [kWh]","gen [kWh]","Outlet #1 [kWh]","Outlet #2 [kWh]","Outlet #3 [kWh]","Outlet #4 [kWh]","Solar Power [kWh]","Generator Power [kWh]","Grid Power [kWh]","DC Outlets [kWh]","Battery Voltage [Vs]","AC Voltage [Vs]","AC Frequency [Hzs]","out1ap [kWh]","out2ap [kWh]","out3ap [kWh]","out4ap [kWh]","Ap Grid [kWh]"
2014-09-07 00:00:00,43.431021111,1322.097504444,291.050547778,54.899430833,158.089334444,401.545793611,1322.097504444,15.557208333,27.873812778,-367.462059722,845876217730.000010000,5865232621942.000300000,4054843115942.999700000,289.775898889,52.896928889,157.158405000,400.681255556,28.516493889
2014-09-06 00:00:00,43.429528611,1318.050177500,291.045231111,54.894888056,157.297092778,399.731570278,1318.050177500,15.555719167,27.873809444,-366.464605278,843708618858.000040000,5845249727423.000300000,4050522733474.000000000,289.776133611,52.899115000,156.366172222,398.868115833,28.513897222
2014-09-05 00:00:00,43.428611667,1315.812089722,289.710504722,54.890492778,157.050672222,397.783991667,1315.812089722,15.554802222,27.873809444,-365.465434444,841557027305.999990000,5825279687771.999800000,4046202349302.999900000,288.445420556,52.902525000,156.119751667,396.920561389,28.510812222
2014-09-04 00:00:00,43.427732500,1310.957535000,288.201863889,54.886761389,156.758909444,396.863283611,1310.957535000,15.553923056,27.873809444,-364.456824722,839363918606.999990000,5805306473509.000500000,4041881967093.999900000,286.940161944,52.905623611,155.827991667,396.001013611,28.507869167
2014-09-03 00:00:00,43.426581389,1307.778160833,286.659779167,54.882696667,156.067294722,395.943915278,1307.778160833,15.552771944,27.873809444,-363.451908333,837188062139.999980000,5785332590109.000200000,4037561583916.000100000,285.401581111,52.909477222,155.136472222,395.084784167,28.504868056
2014-09-02 00:00:00,43.425737500,1305.629624167,285.892299722,54.878323056,155.907595833,394.670898611,1305.629624167,15.551928056,27.873809444,-362.445422222,834997653963.999980000,5765348662609.000200000,4033241201202.999900000,284.637928056,52.911939444,154.976890556,393.812643889,28.502578333
2014-09-01 00:00:00,43.424812222,1301.353345000,284.311565000,54.874300833,155.855560278,394.053010000,1301.353345000,15.551002778,27.873809444,-361.440224444,832781711787.999980000,5745366867783.999400000,4028920817738.999700000,283.060591944,52.914513611,154.924898611,393.195875000,28.499805000
2014-08-31 00:00:00,43.424026111,1298.083245833,284.306868056,54.870157778,155.362656667,392.363888889,1298.083245833,15.550216667,27.873809444,-360.433073333,830569353654.000040000,5725382104053.000200000,4024600435216.000000000,283.061544167,52.916962500,154.432062500,391.509207222,28.497875000
2014-08-30 00:00:00,43.423436667,1295.579699444,284.302008611,54.865893333,155.057778056,391.448789722,1295.579699444,15.549627222,27.873809444,-359.422486667,828351298385.999910000,5705390827479.000000000,4020280052548.999700000,283.061787222,52.918623333,154.127220000,390.596348056,28.496381667
2014-08-29 00:00:00,43.422830000,1292.366452222,284.296918333,54.861285000,154.873377778,390.434675833,1292.366452222,15.549020556,27.873809444,-358.408429167,826128303503.000020000,5685402875446.000000000,4015959669078.000100000,283.062034722,52.920056667,153.942916389,389.584775556,28.495000000
2014-08-28 00:00:00,43.422123889,1289.714543611,284.291874722,54.856789722,154.803018611,389.603566944,1289.714543611,15.548314444,27.873809444,-357.398952500,823912277597.999930000,5665410407424.999400000,4011639286765.999700000,283.061980278,52.921294167,153.872595556,388.756287222,28.493768611
2014-08-27 00:00:00,43.421498611,1286.099591111,283.969437500,54.852696667,154.361305556,388.701931389,1286.099591111,15.547689167,27.873809444,-356.394072778,821692358087.000010000,5645427970853.999800000,4007318904236.999700000,282.744047500,52.923364444,153.430917222,387.857001944,28.491902500
2014-08-26 00:00:00,43.420876944,1282.159585000,283.727031389,54.848192500,154.255055556,387.819692778,1282.159585000,15.547067500,27.873809444,-355.388261944,819480249172.000050000,5625442625336.999800000,4002998519717.000100000,282.506481389,52.924927222,153.324699167,386.977231667,28.490351667
2014-08-25 00:00:00,43.419981111,1280.271011667,283.568240000,54.844053889,153.761923333,386.423252500,1280.271011667,15.546171667,27.873809444,-354.387993611,817292786139.000050000,5605464513916.000100000,3998678137753.999800000,282.352709444,52.927293889,152.833691389,385.583433056,28.488544444
